Game,Notes,Console,Hours
New Super Mario Bros 2,,3DS,5.5
Donkey Kong Country Returns 3D,,3DS,11
Metroid: Samus Returns,,3DS,11
Kid Icarus Uprising,,3DS,11.5
Luigi's Mansion: Dark Moon,,3DS,14
The Legend of Zelda: A Link Between Worlds,,3DS,16
Pokemon Omega Ruby,,3DS,26
Fire Emblem Awakening,,3DS,30.5
Pokemon Y,,3DS,31
Fire Emblem Echoes: Shadows of Valentia,,3DS,35
Bravely Default,,3DS,54.5
Mario Kart DS,,DS,4.5
New Super Mario Bros,,DS,7
Kirby Mass Attack,,DS,10
Professor Layton and the Last Specter,,DS,13
Hotel Dusk: Room 215,,DS,15.5
Sonic Chronicles: The Dark Brotherhood,,DS,16
The Legend of Zelda: Phantom Hourglass,,DS,17
Pokemon Black,,DS,32
Radiant Historia,,DS,35
Super Monkey Ball,,Gamecube,3.5
Pac-Man World 2,,Gamecube,4.5
Viewtiful Joe,,Gamecube,8
Spongebob: Battle for Bikini Bottom,,Gamecube,10
Sonic Heroes,,Gamecube,12
Metroid Prime 2: Echoes,,Gamecube,17
The Legend of Zelda: Majora's Mask,Collector's Edition,Gamecube,21
The Legend of Zelda: Ocarina of Time,Collector's Edition,Gamecube,27
Donkey Kong,1994 Reboot,GB/GBC,6
Pokemon Silver,,GB/GBC,30
Yoshi Topsy-Turvy,,GBA,3.5
Wario Land 4,,GBA,6
Advance Wars,,GBA,15.5
Mario and Luigi: Superstar Saga,,GBA,18
Golden Sun,,GBA,22
Star Fox 64,,N64,2
Glover,,N64,5
Goldeneye 007,,N64,8
Paper Mario,,N64,23
Amelie,,PC,1
"Control, I'm Not Coming Back",Free,PC,1
"drowning, drowning",Free,PC,1
First Kiss at a Spooky Soiree,Free,PC,1
her tears were my light,,PC,1
Syrup and the Ultimate Sweet,Free,PC,1
The WereCleaner,Free,PC,1
Tomato Clinic,Free,PC,1
Toree Saturn,,PC,1
We Know the Devil,,PC,1
Your Dry Delight,Free,PC,1
Awaria,Free,PC,1.5
Monument Valley II,,PC,1.5
A Hat in Time: Seal the Deal,DLC,PC,2
A Year of Springs,,PC,2
Bloodstained: Curse of the Moon,,PC,2
ElecHead,,PC,2
Grimm's Hollow,Free,PC,2
If found...,,PC,2
Life After Magic,Free,PC,2
Mind Over Magnet,,PC,2
Moonleap,,PC,2
Return to Ash,,PC,2
Starry Flowers,Free,PC,2
"Upwards, Rain! The Post Office of Farewells",,PC,2
Watchmen: The End is Nigh Part 2,,PC,2
A Hat in Time: Nyakuza Metro,DLC,PC,2.5
Endless Monday: Dreams and Deadlines,,PC,2.5
Heaven Will Be Mine,,PC,2.5
Mega Man Zero 3,Legacy Collection,PC,2.5
Mega Man Zero 4,Legacy Collection,PC,2.5
Mouthwashing,,PC,2.5
No Case Should Remain Unsolved,,PC,2.5
Nocturnal,,PC,2.5
Parking Garage Rally Circuit,,PC,2.5
Perfect Gold,,PC,2.5
start;again,,PC,2.5
Control: AWE,DLC,PC,3
Fear the Spotlight,,PC,3
Highway Blossoms: Next Exit,DLC,PC,3
Mega Man Zero 2,Legacy Collection,PC,3
My Confounding Cat is Criminally Cute!,,PC,3
