Game,Console,Digital?
Bravely Default,3DS,FALSE
Donkey Kong Country Returns 3D,3DS,FALSE
Fire Emblem Awakening,3DS,FALSE
Fire Emblem Echoes: Shadows of Valentia,3DS,FALSE
Kid Icarus Uprising,3DS,FALSE
Kirby Planet Robobot,3DS,FALSE
Kirby Triple Deluxe,3DS,FALSE
Luigi's Mansion: Dark Moon,3DS,FALSE
Mario Kart 7,3DS,TRUE
Metroid: Samus Returns,3DS,FALSE
New Super Mario Bros 2,3DS,FALSE
Phoenix Wright: Ace Attorney - Dual Destinies,3DS,TRUE
Phoenix Wright: Ace Attorney - Spirit of Justice,3DS,TRUE
Pilotwings Resort,3DS,FALSE
Pokemon Moon,3DS,FALSE
Pokemon Omega Ruby,3DS,FALSE
Pokemon Y,3DS,FALSE
Professor Layton vs Phoenix Wright: Ace Attorney,3DS,TRUE
Super Mario 3D Land,3DS,FALSE
The Legend of Zelda: A Link Between Worlds,3DS,FALSE
Yoshi's New Island,3DS,FALSE
Apollo Justice: Ace Attorney,DS,FALSE
Hotel Dusk: Room 215,DS,FALSE
Kirby Mass Attack,DS,FALSE
Kirby Superstar Ultra,DS,FALSE
Kirby: Squeak Squad,DS,FALSE
Mario Kart DS,DS,FALSE
New Super Mario Bros,DS,FALSE
Pokemon Black,DS,FALSE
Professor Layton and the Curious Village,DS,FALSE
Professor Layton and the Diabolical Box,DS,FALSE
Professor Layton and the Last Specter,DS,FALSE
Professor Layton and the Unwound Future,DS,FALSE
Radiant Historia,DS,FALSE
Sonic Chronicles: The Dark Brotherhood,DS,FALSE
Sonic Rush,DS,FALSE
Sonic Rush Adventure,DS,FALSE
The Legend of Zelda: Phantom Hourglass,DS,FALSE
The World Ends With You,DS,FALSE
Metroid Prime 2 Echoes,Gamecube,FALSE
Pac-Man World 2,Gamecube,FALSE
Shadow the Hedgehog,Gamecube,FALSE
Sonic Heroes,Gamecube,FALSE
Spongebob: Battle for Bikini Bottom,Gamecube,FALSE
Super Monkey Ball,Gamecube,FALSE
The Legend of Zelda Collector's Edition,Gamecube,FALSE
Viewtiful Joe,Gamecube,FALSE
Wario World,Gamecube,FALSE
Donkey Kong 1994,GB/GBC,FALSE
Pokemon Silver,GB/GBC,FALSE
Advance Wars,GBA,FALSE
Golden Sun,GBA,FALSE
Kirby and the Amazing Mirror,GBA,FALSE
