Game,Notes,Console,Hours,Date Finished,Date Reviewed,Score,Review
Kirby Planet Robobot,,3DS,7,2024-02-07,,10,-
Kirby Triple Deluxe,,3DS,7.5,-,,8,-
Mario Kart 7,,3DS,7.5,-,,8,-
Phoenix Wright: Ace Attorney - Dual Destinies,,3DS,27,2024-05-17,2024-05-17,6,reviews/phoenix wright ace attorney - dual destinies.html
Phoenix Wright: Ace Attorney - Spirit of Justice,,3DS,35,2024-06-09,2024-06-09,6,reviews/phoenix wright ace attorney - spirit of justice.html
Pilotwings Resort,,3DS,4,2024-05-29,2026-04-12,6,reviews/pilotwings resort.html
Pokemon Moon,,3DS,33.5,2024-12-26,2024-12-28,6,reviews/pokemon moon.html
Professor Layton vs Phoenix Wright: Ace Attorney,,3DS,24,-,,3,-
Super Mario 3D Land,,3DS,7,-,,5,-
Yoshi's New Island,,3DS,7,2025-09-04,2025-11-30,2,reviews/yoshi's new island.html
Ace Attorney Investigations: Miles Edgeworth,,DS,23,2024-03-28,2024-03-29,6,reviews/ace attorney investigations - miles edgeworth.html
Apollo Justice: Ace Attorney,,DS,20.5,-,,8,-
Kirby Superstar Ultra,,DS,5,2025-12-27,,9,-
Kirby: Squeak Squad,,DS,4,2024-06-24,,7,-
Professor Layton and the Curious Village,,DS,11.5,-,,6,-
Professor Layton and the Diabolical Box,,DS,13,2024-04-07,2024-04-07,6,reviews/professor layton and the diabolical box.html
Professor Layton and the Unwound Future,,DS,15,2025-04-18,,8,-
Sonic Rush,,DS,5,2023-12-28,,4,-
Sonic Rush Adventure,,DS,7,2024-01-02,,6,-
The World Ends With You,,DS,25,2026-06-02,2026-06-08,7,reviews/the world ends with you.html
Shadow the Hedgehog,,Gamecube,4.5,2024-05-11,2024-05-11,3,reviews/shadow the hedgehog.html
Wario World,,Gamecube,6,2024-01-26,,1,-
Kirby & the Amazing Mirror,,GBA,7,2024-12-16,2026-02-15,8,reviews/kirby and the amazing mirror.html
Mega Man Zero,,GBA,3,2025-01-27,,6,-
Sonic Advance,,GBA,2,2025-09-27,2025-09-27,4,reviews/sonic advance.html
Kirby 64: The Crystal Shards,,N64,4,2026-02-21,,8,-
Waialae Country Club: True Golf Classics,,N64,1,2025-01-03,2025-01-03,5,reviews/waialae country club - true golf classics.html
-SPROUT-,,PC,1,-,,3,-
2D Platformer Game (Toy Factory),,PC,,-,,4,-
420BLAZEIT 2: GAME OF THE YEAR,Shortened Title,PC,3.5,2026-07-09,2026-07-15,4,reviews/420blaze it 2 - game of the year.html
A Dance of Fire and Ice,,PC,3.5,2023-12-23,,7,-
A Short Hike,,PC,1.5,-,2024-01-14,8,reviews/a short hike.html
Baba is You,,PC,7.5,2024-04-30,,8,-
BAD END THEATER,,PC,1,2026-01-21,,8,-
Bendy and the Ink Machine,,PC,4.5,2025-11-01,2025-11-09,3,reviews/bendy and the ink machine.html
Blood Domination,,PC,,2024-12-07,2024-12-07,2,reviews/blood domination.html
Brazilian Drug Dealer 3,Shortened Title,PC,3.5,2025-11-27,2026-06-18,8,reviews/brazilian drug dealer 3.html
Cage of Roses,,PC,6.5,2025-07-10,,6,-
Call of Duty,,PC,7,2024-07-28,2024-07-28,6,reviews/call of duty (2003).html
Cave Story+,,PC,6.5,2024-02-14,2024-02-14,5,reviews/cave story+.html
Celeste,,PC,8.5,-,2026-03-13,10,reviews/celeste.html
Coffee Talk,,PC,4.5,-,2024-01-16,7,reviews/coffee talk.html
Completely Stretchy,,PC,3,2026-03-06,2026-03-08,4,reviews/completely stretchy.html
Cyber Hook,,PC,4,2024-03-30,,7,-
Date Everything!,,PC,18,2026-03-04,2026-03-06,3,reviews/date everything!.html
"Detective Instinct: Farewell, My Beloved",,PC,5.5,2025-12-04,2025-12-23,9,"reviews/detective instinct - farewell, my beloved.html"
Doki Doki Dollmaker,,PC,,2024-12-28,2025-01-19,6,reviews/doki doki dollmaker.html
Donut County,,PC,2,-,,6,-
Doom,2016 Reboot,PC,11.5,2024-10-10,2025-01-18,8,reviews/doom (2016).html
Doom,Steam Port,PC,5,2024-05-18,2024-05-18,5,reviews/doom.html
Downwell,,PC,6.5,2024-05-24,,6,-
Duck Detective: The Ghost of Glamping,,PC,2,2026-03-22,,7,-
